Chapter	Question	A	B	C	D	Answer	Explanation
1	다음 중 경제학의 정의로 가장 적절한 것은?	돈을 버는 방법을 연구하는 학문	한 사회가 희소한 자원을 어떻게 관리하는지 연구하는 학문	물가와 금리의 변화를 예측하는 학문	주식과 채권 투자 전략을 제시하는 학문	B	경제학은 희소성(scarcity)이라는 기본 문제에서 출발한다. 제한된 자원을 어떻게 배분할 것인가를 연구한다. ①은 경제학의 일부 응용일 뿐 정의가 아니고, ③④는 경제학의 특정 분야일 뿐이다.
1	희소성(Scarcity)의 정의로 올바른 것은?	모든 사람이 원하는 것을 다 가질 수 없는 상태	자원의 유한성으로 인해 모든 선택에 대가가 있는 상태	경제가 어려워서 물품이 부족한 상태	부자와 빈자의 격차가 크지 않은 상태	B	희소성은 자원의 절대적 부족을 의미한다. 이로 인해 모든 선택에는 기회비용이 발생한다. ①은 희소성의 한 측면이지만 정의로는 부정확하고, ③은 경제 상황에 따른 일시적 부족, ④는 형평성과 관련된 다른 개념이다.
1	다음 중 기회비용(Opportunity Cost)의 예시로 가장 적절한 것은?	장학금으로 받은 1,000만원	대학 진학을 선택함으로써 포기한 취업의 기회	내가 벌 수 있는 월급	학교에 납부한 등록금	B	기회비용은 어떤 선택을 했을 때 포기한 다른 선택의 가치이다. 대학을 가기로 결정했을 때 포기한 것은 "지금 당장 취업하는 것"이다. ①④는 실제 비용(明示的 비용)이고, ③는 기회비용의 일부이지만 가장 직접적인 예시는 아니다.
1	다음 중 매몰비용(Sunk Cost)의 예시로 올바른 것은?	반값 할인권을 사용하여 영화관에 들어갔을 때, 영화가 재미없으면 중도 퇴장하기	이미 지불한 영화표 가격이 중도 퇴장 결정에 영향을 미치지 않는다	반값 할인권을 또 구매하는 데 드는 비용	장래에 영화관에서 추가로 지출할 예정인 금액	B	매몰비용은 이미 지출되어 돌이킬 수 없는 비용이므로, 의사결정에 영향을 주지 않아야 한다. ②가 매몰비용을 올바르게 설명한다. ①은 이미 지불한 표값의 영향을 받는 잘못된 결정이고, ③④는 미래의 비용이라 매몰비용이 아니다.
1	경제적 유인(Incentive)의 예로 가장 적절한 것은?	부모님이 자녀의 성적 향상을 위해 상금을 제시하기	교사가 학생들에게 시험을 보기	학생이 공부가 싫어서 학원을 빠지기	학교의 교육과정이 변경되기	A	유인은 보상이나 벌칙을 통해 행동을 변화시키는 것이다. ①은 상금이라는 긍정적 유인이 자녀의 공부 의욕을 자극하는 예이다. ②③④는 유인의 정의를 만족하지 않는다.
1	다음 중 정부가 시장실패를 해결해야 한다고 주장하는 근거로 가장 부적절한 것은?	외부효과(Externality)의 존재	시장지배력(Market Power)의 행사	국내 기업들이 국제 시장에서 경쟁하기 위함	공해 방지를 위한 환경 규제	C	시장실패의 원인은 외부효과와 시장지배력이다. ③은 국가의 경쟁력 강화를 위한 산업정책으로, 시장실패 해결과는 다른 이유이다. 또한 정부가 항상 개입이 효율적인 것은 아니며, 이는 정부실패의 가능성도 있다.
1	효율성(Efficiency)과 형평성(Equity)의 관계로 올바른 것은?	효율적인 배분은 항상 공정하다	공정한 배분은 항상 효율적이다	효율성과 형평성은 서로 독립적이며, 상충관계가 있을 수 있다	효율성과 형평성은 같은 의미의 단어이다	C	효율성은 총잉여의 극대화를, 형평성은 자원 분배의 공정성을 의미한다. 이 둘은 다른 목표이며 상충할 수 있다. 예를 들어, 일부가 대부분의 부를 가져도 총잉여는 최대일 수 있지만 형평성은 매우 낮다.
1	시장경제(Market Economy)와 계획경제(Planned Economy)의 가장 큰 차이점은?	시장경제는 물가가 높고, 계획경제는 물가가 낮다	시장경제는 개인의 자유로운 선택에 의해, 계획경제는 정부의 지시에 의해 경제가 조직된다	시장경제는 선진국에서만 가능하고, 계획경제는 모든 국가에서 가능하다	시장경제는 효율적이고, 계획경제는 항상 비효율적이다	B	시장경제의 핵심은 개인의 자유로운 의사결정에 의해 가격 메커니즘을 통해 경제가 조직되는 것이다. 계획경제는 정부가 중앙에서 모든 경제활동을 지시한다. ①③④는 일반화된 선언이 아니다.
1	다음 상황을 읽고, 경제적 의사결정의 기본원리를 적용하시오.** 학생 A는 토요일 오전에 아르바이트(시간당 20,000원)를 할 수도 있고, 친구들과 영화를 볼 수도 있다(영화표 18,000원). 이 경우 영화를 보기로 결정했을 때의 기회비용은? ① 18,000원 ② 20,000원 ③ 38,000원 ④ 기회비용은 없다 정답: ② 해설: 기회비용은 영화를 보기로 결정했을 때 포기한 것의 가치이다. 즉, 벌 수 있는 아르바이트비(20,000원)가 기회비용이다. 영화표 비용(18,000원)은 이미 지출한 실제 비용이지 기회비용이 아니다. --- **10. 어떤 상황에서 정부의 개입이 시장의 성과를 개선할 수 있는가?	시장지배력이 없는 완전경쟁시장일 때	외부효과와 시장지배력 때문에 시장실패가 발생했을 때	국민의 생활수준이 높아질 때	무역량이 증가할 때	B	시장실패는 시장지배력(독점 등)이나 외부효과(공해, 기술 개발의 긍정적 효과 등)로 인해 발생한다. 정부가 이를 해결할 수 있다. ①은 이미 효율적인 상태이고, ③④는 정부 개입의 근거가 아니다.
1	한 나라의 생활수준이 높아지려면?	통화량을 계속 증가시켜야 한다	정부의 규모를 계속 키워야 한다	생산성을 향상시켜야 한다	물가를 계속 낮춰야 한다	C	경제학의 원리 8에서 다룬 내용이다. "생활수준은 생산능력에 달려 있다." 생산성 향상은 교육, 기술 투자, 자본 축적을 통해 이루어진다.
1	인플레이션(Inflation)과 하이퍼인플레이션(Hyperinflation)의 차이는?	인플레이션은 물가가 약간 오르는 것이고, 하이퍼인플레이션은 물가가 많이 오르는 것이다	인플레이션은 선진국에서 발생하고, 하이퍼인플레이션은 발전도상국에서만 발생한다	하이퍼인플레이션은 월 50% 이상의 물가 상승을 의미한다	두 가지는 같은 현상으로 다른 이름일 뿐이다	C	하이퍼인플레이션은 월 50% 이상의 극도의 인플레이션을 의미한다. 이는 통화의 신뢰를 완전히 잃게 하며 경제 전체에 심각한 혼란을 가져온다.
1	경제학자 A는 "최저임금을 인상하면 청년 실업이 증가할 것이다"라고 주장했다. 이것은 어떤 유형의 주장인가?	규범적 주장	실증적 주장	가치적 판단	도덕적 주장	B	이는 최저임금 인상이라는 변수 변화가 청년 실업이라는 결과를 초래한다는 인과관계를 주장하는 것으로, 참/거짓을 검증할 수 있는 실증적 주장이다. 규범적 주장은 "인상해야 한다/하면 안 된다"처럼 가치 판단을 포함한다.
1	경제순환 모형(Circular Flow Diagram)에서 올바른 설명은?	기업의 목표는 사회 복지이고, 가계의 목표는 이윤 극대화이다	재화·서비스 시장에서 기업은 판매자이고, 가계는 구매자이다	생산요소 시장에서 기업은 구매자이고, 가계는 판매자이다	②③이 모두 맞다	D	경제순환 모형의 핵심이다. 재화 시장과 생산요소 시장에서 기업과 가계의 역할이 반대이며, 이를 통해 자원이 순환된다.
1	다음 중 경제모형(Economic Model)이 비현실적인 가정을 하는 이유는?	경제학자들의 능력 부족	현실을 단순화하여 핵심 관계를 파악하기 위함	모형이 좋지 못해서	수학적으로 불가능해서	B	모형은 목적에 맞게 현실의 일부만 추출하여 단순화한다. 이는 약점이 아니라 모형의 장점이다. 비현실적 가정이 반드시 모형이 나쁘다는 뜻은 아니다.
1	생산가능곡선(PPF)이 바깥쪽으로 이동하는 경우는?	현재의 생산요소를 더 비효율적으로 사용	기술 퇴보	생산요소의 증가 또는 기술 진보	한 재화의 생산을 포기하고 다른 재화만 생산	C	PPF가 바깥쪽으로 이동하는 것은 경제성장을 의미한다. 이는 생산요소 증가(노동, 자본) 또는 기술 진보를 통해 달성된다.
1	생산가능곡선이 밖으로 볼록한 이유는?	한계수확체감의 법칙 때문	비용이 계속 올라가기 때문	기술 진보가 일정하지 않기 때문	정부 정책의 변화 때문	A	한계수확체감의 법칙은 같은 양의 추가 생산을 위해 필요한 기회비용이 점점 커진다는 것이다. 이로 인해 PPF는 밖으로 볼록한 형태를 보인다. 생산요소마다 특정 재화 생산에 더 효율적이기 때문이다.
1	다음 중 틀린 것은?	미시경제학은 개별 기업의 의사결정을 연구한다	거시경제학은 국가 전체의 경제를 연구한다	경제학은 실증적 분석과 규범적 분석을 모두 한다	경제학자들은 항상 정치적 관점에서 경제 문제를 분석한다	D	경제학자는 과학자로서 먼저 실증적으로 분석해야 한다. 규범적 주장(정책 제안)은 그 다음의 문제이며, 개인의 가치관에 따라 다를 수 있다. 경제 분석 자체가 항상 정치적인 것은 아니다.
1	다음 중 기회비용이 "0"인 경우는?	구름 없는 날씨에 집에서 쉬기	이미 구매한 책을 읽기	무료로 얻은 선물을 사용하기	경제학 원리 8에 따르면, 없다	D	경제학 원리 3은 "모든 선택에는 대가가 있다"이다. 따라서 어떤 선택을 하든 다른 선택을 포기하므로 기회비용은 항상 존재한다. 기회비용이 작을 수 있지만 0은 아니다. ②는 매몰비용으로 인해 기회비용을 무시하는 오류의 예이다.
1	정부가 시장에 개입했는데도 문제가 해결되지 않으면?	정부의 개입 수준을 더 높여야 한다	정부실패가 발생했을 수 있다	시장경제로 완전히 전환해야 한다	경제학의 원리가 틀렸다	B	정부 개입이 항상 효율적인 것은 아니다. 정부는 불완전한 정보를 가지고 있거나, 정치적 압력에 의해 비효율적 결정을 할 수 있다. 이를 정부실패라고 한다.
1	"국민 생활수준이 높아져야 한다"는 주장은?	실증적 주장 (참/거짓 판정 가능)	규범적 주장 (가치 판단 포함)	객관적 진실	경제학적으로 분석할 수 없는 주장	B	"~해야 한다"는 당위성을 포함하므로 규범적 주장이다. 이는 개인의 가치관에 따라 동의/반대가 갈릴 수 있다. 경제학자는 먼저 "생활수준을 높이려면 생산성을 올려야 한다"(실증)를 분석한 후, 정책 선택(규범)은 사회가 결정하도록 해야 한다.
1	PPF 곡선 내부의 점은?	효율적인 생산	비효율적인 생산	생산 불가능	최적의 생산 조합	B	PPF 곡선 위의 점 = 효율적 (모든 생산요소 활용), 곡선 내부 = 비효율적 (생산요소 낭비), 곡선 외부 = 생산불가능. 곡선 내부에서도 생산은 가능하지만 낭비가 있다.
1	"A 상품의 기회비용 = B 상품 5개"라는 것은?	A 상품 1개를 생산하면 B 상품 5개를 포기해야 한다는 뜻	B 상품 5개가 A 상품보다 더 중요하다	A 상품이 B 상품보다 생산하기 어렵다	①③이 모두 맞다	A	기회비용은 한 재화를 포기한 것의 가치이다. A 상품 1개의 기회비용이 B 상품 5개라는 것은 A를 만들려면 B 5개를 포기해야 한다는 뜻이다. ②③은 추가 해석일 뿐 정의가 아니다.
1	어느 경제학파는 "자유시장이 항상 최선의 결과를 가져온다"고 주장하고, 다른 경제학파는 "정부의 개입이 필요하다"고 주장한다. 이 둘의 차이는?	한 쪽이 옳고 다른 쪽이 틀렸다	시장실패의 범위와 중요도에 대한 인식 차이	경제학 수준의 차이	가치관과 이념의 차이일 뿐 경제학적 근거가 없다	B	둘 다 경제학적으로 타당한 분석이다. 차이는 현실에서 시장실패가 얼마나 심각하고 정부 개입이 얼마나 효과적인지에 대한 판단 차이이다. 이는 실증적 분석의 관점 차이이며, 이념이나 가치관만의 차이는 아니다.
1	한 재화의 기울기 계산이 틀렸다면?	기회비용도 틀렸다	기회비용은 여전히 맞을 수 있다	기울기가 곡선이 아니라면 기회비용이 일정하다	PPF가 직선이 아니다	A	PPF에서 기울기 = 기회비용이다. 한 재화의 기울기가 틀렸으면 기회비용도 틀린 것이다. 다만 곡선이 직선이 아니면 기울기(따라서 기회비용)가 점마다 다르다.
2	경제학자의 사고방식으로 가장 적절한 것은?	현실에서 일어나는 모든 일을 정확히 예측할 수 있다	가설을 세우고 이를 검증하는 과정을 거친다	주관적 경험에만 기초해 판단한다	수학 공식만 사용하여 문제를 푼다	B	경제학자는 과학자다. 가설 수립 → 검증 → 예측이라는 과학적 방법을 따른다.
2	경제모형(Economic Model)의 특징으로 올바른 것은?	현실을 완벽하게 재현한다	모든 가정이 현실을 반영해야 한다	복잡한 현실을 단순화하여 핵심 관계를 파악한다	정확하지 않은 예측을 하기 위한 것이다	C	모형은 의도적으로 현실을 단순화한다. 이를 통해 복잡한 현실의 핵심 메커니즘을 이해할 수 있다.
2	경제순환 모형에서 재화·서비스 시장이란?	주식 시장	기업이 재화를 판매하고 가계가 구매하는 시장	노동 시장	국제 무역 시장	B	재화·서비스 시장은 개인의 소비를 위한 재화가 거래되는 시장이다. 노동 시장은 생산요소 시장에 포함된다.
2	경제순환 모형에서 생산요소 시장이란?	기업이 재화를 판매하는 시장	노동, 자본 등 생산에 필요한 요소가 거래되는 시장	정부가 세금을 걷는 시장	수입품이 거래되는 시장	B	생산요소 시장(또는 요소 시장)에서는 노동(임금), 자본(이자), 토지(지대) 등이 거래된다.
2	생산가능곡선(PPF)이 직선일 경우, 기회비용의 특징은?	점마다 다르다	항상 일정하다	시간에 따라 변한다	계산할 수 없다	B	PPF가 직선이면 기울기가 일정하므로 기회비용도 항상 일정하다. 현실에서 PPF는 밖으로 볼록하여 기회비용이 점마다 다르다.
2	생산가능곡선이 안쪽으로 이동하는 상황은?	기술 진보	생산요소 증가	경제 호황	자연재해 또는 전쟁으로 인한 생산요소 파괴	D	PPF가 안쪽으로 이동 = 경제 악화. 생산요소 감소 또는 기술 퇴보로 인해 발생한다.
2	미시경제학과 거시경제학의 차이로 가장 적절한 것은?	미시경제학은 이론이고 거시경제학은 실무이다	미시경제학은 개별 경제 주체를, 거시경제학은 전체 경제를 연구한다	미시경제학이 더 정확하고 거시경제학은 덜 정확하다	둘은 서로 별개의 학문이어서 관련이 없다	B	미시경제학 = 가계, 기업, 산업 / 거시경제학 = 국가 전체 GDP, 실업, 인플레이션. 둘은 서로 연관되어 있다.
2	"경제 성장률이 높아지면 물가가 올라간다"는 주장의 성격은?	실증적 주장	규범적 주장	항상 참인 진리	검증 불가능한 주장	A	이는 두 변수 간의 인과관계를 주장하는 것으로, 데이터를 통해 참/거짓을 검증할 수 있는 실증적 주장이다.
2	PPF 곡선이 밖으로 볼록한 이유를 설명하기 위해 필요한 개념은?	기회비용	한계수확체감의 법칙	비교우위	①②가 모두 필요	D	밖으로 볼록한 이유는 한계수확체감 때문이며, 이를 기회비용으로 표현한다. A의 기회비용(포기해야 하는 B의 양)이 점점 커지기 때문이다.
2	어떤 경제에서 A 재화 생산만 증가했을 때?	PPF가 이동했다	PPF 위의 점이 다른 위치로 이동했다	경제성장이 일어났다	경제효율성이 떨어졌다	B	A 생산 증가 → B 생산 감소하는 것은 PPF 곡선 "위에서의 이동"이다. 곡선 자체는 이동하지 않았다(경제성장 아님).
2	실증적 분석과 규범적 분석의 차이점을 올바르게 설명한 것은?	실증적은 항상 맞고, 규범적은 항상 틀렸다	실증적은 현재 상황을, 규범적은 미래를 분석한다	실증적은 팩트 기반, 규범적은 가치 판단 기반이다	두 가지는 구별할 필요가 없다	C	실증적 주장(~이다)은 검증 가능한 팩트이고, 규범적 주장(~해야 한다)은 가치 판단을 포함한다.
2	경제 모형에서 비현실적 가정을 하는 이유는?	경제학자들이 게을러서	현실을 완벽하게 이해하기 위해	복잡한 현실에서 핵심 메커니즘을 추출하기 위해	모형이 좋으려면 꼭 필요하기 때문이다	C	모형의 목적은 현실의 모든 것을 재현하는 것이 아니라, 특정 메커니즘을 이해하는 것이다.
2	PPF 분석에서 "기울기 = 기회비용"이라는 명제가 의미하는 것은?	기울기를 보면 얼마나 많은 B를 포기해야 A를 얻을 수 있는지 알 수 있다	기울기가 가파르면 기회비용이 크다	A의 기울기와 B의 기울기는 같다	기울기는 항상 양수이다	A	PPF 위의 점에서 기울기 = A의 기회비용(포기해야 하는 B의 양). 기울기가 음수라는 것은 한 재화를 더 얻으면 다른 재화를 포기해야 한다는 뜻이다.
2	경제순환 모형의 동작 원리를 설명하는 핵심은?	기업과 가계의 역할이 시장에 따라 달라진다	정부가 모든 거래를 통제한다	노동자는 항상 생산요소 시장에서만 활동한다	①③이 맞다	A	재화 시장과 생산요소 시장에서 기업과 가계의 역할이 반대이다. 이것이 순환을 만든다.
2	다음 상황을 PPF로 나타낼 때, 어디에 위치하는가: "정부가 기술 규제로 혁신을 막았다"	PPF 위 (효율적)	PPF 내부 (비효율적)	PPF 곡선이 안쪽으로 이동	PPF 밖 (생산 불가능)	B	기술은 활용할 수 있지만 규제로 인해 사용하지 않으면, 생산요소를 낭비하고 있다. 따라서 PPF 곡선 내부에 위치한다.
2	"최저임금을 올려야 한다"는 주장을 경제학적으로 분석하려면?	이 주장이 맞는지 틀리는지 판정한다	먼저 "최저임금 인상이 고용에 미치는 영향"을 실증적으로 분석한 후, 정책 선택은 사회가 결정하도록 한다	경제학자의 개인적 견해를 따른다	이는 경제학으로 분석할 수 없는 순전히 도덕적 문제이다	B	경제학자는 과학자로서 먼저 현상을 분석(실증)하고, 정책 선택(규범)은 사회의 가치관에 맡긴다.
2	PPF가 직선이 아니라 곡선인 이유로 가장 적절한 것은?	현실이 복잡해서	생산요소마다 상이한 효율성 때문에 한계수확체감이 발생	기술이 계속 발전	정부 정책이 변하기 때문	B	어떤 생산요소는 A 생산에 더 적합하고, 어떤 것은 B 생산에 더 적합하다. 따라서 A를 계속 생산하려면 B 생산에 더 적합한 요소까지 빼야 하므로 기회비용이 커진다 (한계수확체감).
2	"PPF 곡선이 직선이면 기회비용이 일정하다"는 주장에 대해?	항상 참이다	조건부로 참이다 (한계수확체감이 없을 때만)	틀렸다 (PPF 곡선은 항상 곡선이어야 한다)	기회비용 계산 방식에 따라 달라진다	B	PPF 곡선이 직선이라는 것은 한계수확체감이 없는 특수한 경우이다. 현실에서는 드물지만, 이 경우 기회비용은 일정하다.
2	다음 중 규범적 주장은?	"세금을 인상하면 소비가 감소한다"	"경제성장률이 3%이다"	"경제성장률은 2% 이상이어야 한다"	"현재 실업률은 5%이다"	C	"~해야 한다"는 규범적 주장이다. ①②④는 팩트나 인과관계로 검증 가능한 실증적 주장이다.
2	경제순환 모형에서 "기업이 판매자"가 되는 시장은?	재화·서비스 시장과 생산요소 시장 둘 다	재화·서비스 시장만	생산요소 시장만	둘 다 아니다	C	재화 시장에서 기업은 판매자(공급)이고, 생산요소 시장에서 기업은 구매자(수요)이다.
2	PPF에서 "기울기"와 "기회비용"의 관계로 올바른 것은?	기울기 > 기회비용	기울기 = 기회비용의 절대값	기울기는 양수이고 기회비용도 양수이다	둘은 전혀 다른 개념이다	B	PPF의 기울기는 음수이지만, 그 절대값이 기회비용(양수)이다.
2	모형의 가정이 비현실적일 때, 취할 수 있는 자세는?	이 모형은 쓸모없다고 버린다	모형의 목적과 필요한 단순화 정도를 생각해본다	가정을 모두 현실에 맞춘다	경제학 전체를 포기한다	B	모형의 비현실성은 문제가 아니다. 어떤 목적으로 단순화했는지를 이해하는 것이 중요하다.
2	어떤 경제가 PPF 곡선 내부에 있다면?	완벽하게 효율적이다	자원 배분이 최적이다	생산 기술 개선의 여지가 있다	경제성장이 일어났다	C	PPF 내부는 비효율적이다. 생산요소를 낭비하고 있으므로, 효율성 개선(더 나은 배분)의 여지가 있다. 이는 기술 개선과는 다르다.
2	"비현실적 가정 = 나쁜 모형"이라는 주장은?	경제학에서 맞는 말이다	틀렸다. 모형의 목적에 맞는 단순화는 필요하다	가정의 개수에 따라 판단한다	경제학자마다 의견이 다르다	B	모형은 의도적으로 비현실적이다. 이를 통해 핵심을 파악한다. 모형의 평가는 "얼마나 현실적인가"가 아니라 "목적 달성에 얼마나 도움이 되는가"이다.
3	절대우위(Absolute Advantage)의 정의로 올바른 것은?	더 빨리 생산하는 능력	더 적은 생산요소로 생산하는 능력	더 낮은 가격에 파는 능력	품질이 더 좋은 제품을 만드는 능력	B	절대우위는 같은 양을 생산할 때 더 적은 생산요소(노동시간, 자본 등)를 사용하는 능력이다.
3	비교우위(Comparative Advantage)의 정의로 가장 적절한 것은?	절대우위를 가진 국가	더 적은 기회비용으로 생산하는 능력	시장에서 경쟁에서 이기는 능력	더 큰 생산량을 가진 국가	B	비교우위는 기회비용 비교로 결정된다. A 상품 1단위의 기회비용이 작은 쪽이 A에 비교우위를 가진다.
3	다음 중 비교우위론의 핵심 결론은?	절대우위가 있는 국가가 모든 것을 생산해야 한다	절대우위가 없어도 비교우위가 있으면 교역이 양쪽에 이득이다	모든 국가는 절대우위를 추구해야 한다	교역은 한 나라의 손실이 된다	B	리카르도의 비교우위론이다. 절대우위만으로는 교역의 필요성을 설명할 수 없지만, 비교우위는 설명한다.
3	교환비율(Terms of Trade)이 결정되는 범위는?	국제가격에 의해 완전히 결정된다	양쪽 국가의 기회비용 사이에서 결정된다	더 강한 국가가 결정한다	정부의 협상에 의해 완전히 결정된다	B	교환비율이 양쪽의 기회비용보다 유리해야 둘 다 교역할 동기가 생긴다.
3	특화(Specialization)의 의미로 올바른 것은?	한 국가가 모든 재화를 생산한다	비교우위가 있는 재화에만 생산을 집중한다	절대우위가 있는 재화를 포기한다	다른 국가의 재화를 모두 수입한다	B	특화는 각 국가가 비교우위 있는 재화만 생산하고 나머지는 교역하는 것이다.
3	기회비용 계산 예: 프랭크가 1시간에 감자 8개 또는 고기 4마리를 생산한다면, 감자 1개의 기회비용은?	고기 0.5마리	고기 2마리	고기 8마리	계산할 수 없다	A	감자 8개 = 고기 4마리 (같은 시간)이므로, 감자 1개 = 고기 0.5마리. 일반 공식: 한 재화의 기회비용 = 포기해야 할 다른 재화의 양.
3	다음 중 교역의 결과로 올바른 것은?	양쪽 모두가 이득을 본다	한쪽이 이득을 보면 다른 쪽은 손실을 본다	절대우위가 있는 쪽만 이득을 본다	비교우위와 무관하게 항상 한쪽이 손실을 본다	A	교역은 양쪽이 자발적으로 하는 것이므로, 쌍방이 모두 이득을 본다. 그렇지 않으면 교역하지 않는다.
3	데이비드 리카르도(David Ricardo)의 비교우위론이 제시한 함의는?	한 국가가 모든 분야에서 능하면 그 국가가 모든 것을 생산해야 한다	절대우위가 없어도 비교우위가 있으면 교역으로 양쪽이 이득을 본다	국제 무역은 전쟁과 같다	발전도상국은 절대로 발전된 국가와 교역할 수 없다	B	리카르도는 절대우위 없이도 교역이 가능하다는 혁명적 주장을 했다. 이것이 비교우위론의 핵심이다.
